   size_band   |   loss_type    | jobs |   revenue   | gross_profit | margin_pct | labor_pct | material_pct | subcontractor_pct | insurance_margin_pct | retail_margin_pct | jobs_underwater 
---------------+----------------+------+-------------+--------------+------------+-----------+--------------+-------------------+----------------------+-------------------+-----------------
 1. Under $10k | Contents       |    7 |    33294.40 |     10915.98 |       32.8 |      23.6 |         18.2 |              17.2 |                 30.9 |              37.5 |               0
 1. Under $10k | Fire           |   20 |   121859.73 |     39761.90 |       32.6 |      23.6 |         18.0 |              16.9 |                 32.2 |              36.9 |               0
 1. Under $10k | Mold           |   13 |    73653.63 |     25482.60 |       34.6 |      22.2 |         18.2 |              16.7 |                 34.6 |              34.2 |               0
 1. Under $10k | Reconstruction |   45 |   282549.45 |     92037.61 |       32.6 |      22.9 |         18.4 |              17.4 |                 32.3 |              32.7 |               0
 1. Under $10k | Storm          |   42 |   244535.04 |     82081.79 |       33.6 |      23.7 |         17.2 |              16.8 |                 33.6 |              33.6 |               0
 1. Under $10k | Water          |   76 |   484282.66 |    171856.62 |       35.5 |      22.0 |         17.0 |              17.2 |                 36.0 |              32.9 |               0
 1. Under $10k | ALL LOSS TYPES |  203 |  1240174.91 |    422136.50 |       34.0 |      22.8 |         17.6 |              17.1 |                 34.3 |              33.1 |               0
 2. $10k-$25k  | Contents       |   14 |   235233.53 |     75791.54 |       32.2 |      23.7 |         17.8 |              17.5 |                 33.1 |              31.9 |               0
 2. $10k-$25k  | Fire           |   19 |   322819.86 |     98183.88 |       30.4 |      24.3 |         18.7 |              17.6 |                 30.3 |              33.6 |               0
 2. $10k-$25k  | Mold           |   12 |   207127.58 |     62128.64 |       30.0 |      24.4 |         19.1 |              17.3 |                 29.8 |              32.3 |               0
 2. $10k-$25k  | Reconstruction |   43 |   684587.67 |    222459.95 |       32.5 |      23.1 |         17.8 |              17.7 |                 33.8 |              31.8 |               0
 2. $10k-$25k  | Storm          |   54 |   828190.74 |    277996.54 |       33.6 |      23.1 |         17.6 |              17.3 |                 34.1 |              31.2 |               1
 2. $10k-$25k  | Water          |   91 |  1452220.94 |    493905.26 |       34.0 |      22.5 |         17.8 |              17.2 |                 32.9 |              37.9 |               0
 2. $10k-$25k  | ALL LOSS TYPES |  233 |  3730180.32 |   1230465.81 |       33.0 |      23.1 |         17.9 |              17.4 |                 32.8 |              33.5 |               1
 3. $25k-$50k  | Contents       |    7 |   285076.04 |     99226.06 |       34.8 |      21.7 |         17.3 |              16.8 |                 34.7 |              34.9 |               0
 3. $25k-$50k  | Fire           |   12 |   397585.15 |    125718.42 |       31.6 |      23.2 |         17.7 |              18.0 |                 32.6 |              28.0 |               0
 3. $25k-$50k  | Mold           |   11 |   389061.43 |    122564.97 |       31.5 |      23.8 |         18.4 |              17.8 |                 33.6 |              28.1 |               0
 3. $25k-$50k  | Reconstruction |   27 |   974002.27 |    333899.14 |       34.3 |      22.0 |         17.7 |              17.6 |                 31.0 |              36.2 |               0
 3. $25k-$50k  | Storm          |   26 |   883157.83 |    284527.31 |       32.2 |      23.0 |         18.5 |              17.6 |                 31.9 |              33.6 |               0
 3. $25k-$50k  | Water          |   54 |  1927410.28 |    684211.06 |       35.5 |      22.5 |         17.4 |              16.3 |                 35.2 |              37.3 |               0
 3. $25k-$50k  | ALL LOSS TYPES |  137 |  4856293.00 |   1650146.96 |       34.0 |      22.6 |         17.8 |              17.1 |                 33.6 |              34.7 |               0
 4. $50k-$100k | Contents       |    6 |   497311.68 |    165912.12 |       33.4 |      23.0 |         16.7 |              18.5 |                 39.6 |              28.4 |               0
 4. $50k-$100k | Fire           |    6 |   400510.00 |    112791.87 |       28.2 |      24.1 |         20.0 |              18.8 |                 28.8 |              25.3 |               0
 4. $50k-$100k | Mold           |    5 |   309317.73 |     96704.56 |       31.3 |      22.4 |         19.9 |              18.6 |                 33.5 |              19.7 |               0
 4. $50k-$100k | Reconstruction |   14 |   896821.18 |    328939.90 |       36.7 |      20.9 |         17.1 |              16.9 |                 30.6 |              38.9 |               0
 4. $50k-$100k | Storm          |   13 |   893470.78 |    278336.00 |       31.2 |      24.6 |         18.3 |              17.0 |                 32.8 |              23.2 |               0
 4. $50k-$100k | Water          |   24 |  1657682.99 |    551009.43 |       33.2 |      22.8 |         17.6 |              17.9 |                 35.0 |              25.5 |               0
 4. $50k-$100k | ALL LOSS TYPES |   68 |  4655114.36 |   1533693.88 |       32.9 |      22.9 |         17.9 |              17.7 |                 33.7 |              31.4 |               0
 5. $100k+     | Contents       |    2 |   291063.81 |     90946.06 |       31.2 |      23.8 |         17.9 |              17.8 |                 31.2 |                   |               0
 5. $100k+     | Reconstruction |    3 |   336171.38 |     85251.80 |       25.4 |      25.1 |         18.0 |              21.6 |                      |              25.4 |               0
 5. $100k+     | Storm          |    6 |   748564.49 |    221130.91 |       29.5 |      23.5 |         19.5 |              18.0 |                 29.5 |                   |               0
 5. $100k+     | Water          |   15 |  1821000.30 |    460635.76 |       25.3 |      25.7 |         20.2 |              18.9 |                 26.5 |              22.3 |               0
 5. $100k+     | ALL LOSS TYPES |   26 |  3196799.98 |    857964.53 |       26.8 |      25.0 |         19.6 |              18.9 |                 28.1 |              23.5 |               0
 ALL SIZES     | Contents       |   36 |  1341979.46 |    442791.76 |       33.0 |      23.0 |         17.3 |              17.8 |                 34.5 |              31.4 |               0
 ALL SIZES     | Fire           |   57 |  1242774.74 |    376456.07 |       30.3 |      23.8 |         18.7 |              18.1 |                 30.7 |              27.8 |               0
 ALL SIZES     | Mold           |   41 |   979160.37 |    306880.77 |       31.3 |      23.4 |         19.0 |              17.8 |                 32.7 |              26.6 |               0
 ALL SIZES     | Reconstruction |  132 |  3174131.95 |   1062588.40 |       33.5 |      22.3 |         17.7 |              17.9 |                 31.7 |              34.2 |               0
 ALL SIZES     | Storm          |  141 |  3597918.88 |   1144072.55 |       31.8 |      23.6 |         18.4 |              17.4 |                 32.2 |              29.5 |               1
 ALL SIZES     | Water          |  260 |  7342597.17 |   2361618.13 |       32.2 |      23.3 |         18.2 |              17.5 |                 32.8 |              29.7 |               0
 ALL SIZES     | ALL LOSS TYPES |  667 | 17678562.57 |   5694407.68 |       32.2 |      23.2 |         18.2 |              17.6 |                 32.5 |              31.6 |               1
(40 rows)

